dataset_id;endpoint;n_obs;n_vars;n_bins;overall_effect;n_high;n_medium;n_low;prop_high;prop_medium_or_higher;max_priority_score;mean_priority_score;top_priority_vars;dataset_priority_hint
5492;binary;500;50;6;0,00800000000000001;22;16;12;0,4400000000000000;0,760000000000000;1,052551020408163;0,655000000000000;x10, x46, x21, x44, x50;multiple_high_priority_signals
3354;binary;500;50;6;0,03200000000000003;21;13;16;0,4200000000000000;0,680000000000000;1,067857142857143;0,585000000000000;x13, x2, x6, x12, x21;multiple_high_priority_signals
4017;continuous;700;50;8;0,59603880892333638;21;11;18;0,4200000000000000;0,640000000000000;1,059183673469388;0,582500000000000;x39, x19, x3, x44, x37;multiple_high_priority_signals
9503;continuous;700;50;8;-0,47202926807292789;21;10;19;0,4200000000000000;0,620000000000000;1,080102040816326;0,575000000000000;x5, x9, x15, x2, x44;multiple_high_priority_signals
1222;binary;150;50;4;-0,05333333333333334;18;22;10;0,3600000000000000;0,800000000000000;1,056122448979592;0,630000000000000;x38, x20, x40, x13, x1;multiple_high_priority_signals
3453;continuous;150;50;4;1,48693633573103501;14;10;26;0,2800000000000000;0,480000000000000;1,039795918367347;0,500000000000000;x6, x34, x39, x14, x5;multiple_high_priority_signals
4502;continuous;150;50;4;2,04849218245835729;11;12;27;0,2200000000000000;0,460000000000000;1,029591836734694;0,480000000000000;x43, x33, x4, x40, x31;multiple_high_priority_signals
5053;continuous;150;15;4;0,14225885736507227;7;4;4;0,4666666666666667;0,733333333333333;1,001785714285714;0,641666666666667;x4, x9, x11, x14, x3;multiple_high_priority_signals
4913;continuous;700;15;8;1,02810902468003373;7;3;5;0,4666666666666667;0,666666666666667;1,025000000000000;0,591666666666667;x4, x6, x12, x15, x3;multiple_high_priority_signals
4380;continuous;150;15;4;0,67494505947283656;6;6;3;0,4000000000000000;0,800000000000000;1,014285714285714;0,641666666666667;x10, x5, x1, x12, x14;multiple_high_priority_signals
4368;binary;500;15;6;-0,06000000000000000;6;6;3;0,4000000000000000;0,800000000000000;0,975000000000000;0,616666666666667;x8, x7, x14, x11, x3;multiple_high_priority_signals
3972;binary;150;15;4;0,09333333333333330;6;4;5;0,4000000000000000;0,666666666666667;1,100000000000000;0,608333333333333;x13, x14, x6, x11, x2;multiple_high_priority_signals
2318;continuous;700;50;8;2,21112523983079212;5;22;23;0,1000000000000000;0,540000000000000;1,005102040816326;0,435000000000000;x35, x41, x30, x28, x2;multiple_high_priority_signals
2771;binary;150;15;4;0,00000000000000000;5;8;2;0,3333333333333333;0,866666666666667;1,035714285714286;0,675000000000000;x10, x5, x7, x13, x2;multiple_high_priority_signals
6025;binary;500;15;6;0,08800000000000002;5;3;7;0,3333333333333333;0,533333333333333;0,982142857142857;0,525000000000000;x9, x7, x10, x14, x8;multiple_high_priority_signals
7164;binary;500;50;6;0,34799999999999998;4;19;27;0,0800000000000000;0,460000000000000;0,810204081632653;0,412500000000000;x22, x39, x49, x35, x7;multiple_high_priority_signals
7499;binary;150;15;4;0,11999999999999994;4;5;6;0,2666666666666667;0,600000000000000;1,019642857142857;0,541666666666667;x8, x7, x12, x15, x1;multiple_high_priority_signals
9563;binary;150;6;4;0,07999999999999996;4;0;2;0,6666666666666666;0,666666666666667;0,855000000000000;0,591666666666667;x4, x6, x2, x1, x3;multiple_high_priority_signals
7619;binary;150;50;4;0,29333333333333333;3;21;26;0,0600000000000000;0,480000000000000;1,023469387755102;0,430000000000000;x22, x21, x18, x29, x34;multiple_high_priority_signals
9371;continuous;700;6;8;0,55796475205113882;3;2;1;0,5000000000000000;0,833333333333333;1,100000000000000;0,633333333333333;x5, x3, x1, x6, x2;multiple_high_priority_signals
6628;binary;500;6;6;0,02800000000000002;3;2;1;0,5000000000000000;0,833333333333333;0,995000000000000;0,675000000000000;x2, x5, x1, x6, x4;multiple_high_priority_signals
9129;continuous;150;6;4;-0,23311975723757650;3;2;1;0,5000000000000000;0,833333333333333;0,965000000000000;0,675000000000000;x3, x1, x6, x4, x2;multiple_high_priority_signals
7756;binary;150;6;4;0,05333333333333334;2;3;1;0,3333333333333333;0,833333333333333;1,055000000000000;0,675000000000000;x2, x5, x1, x4, x6;high_plus_additional_support
2941;continuous;150;6;4;-0,44205379393881117;2;3;1;0,3333333333333333;0,833333333333333;1,035000000000000;0,675000000000000;x4, x5, x1, x2, x6;high_plus_additional_support
2119;continuous;700;6;8;-0,01395916001664288;2;2;2;0,3333333333333333;0,666666666666667;1,100000000000000;0,675000000000000;x6, x4, x3, x1, x2;high_plus_additional_support
3608;continuous;150;6;4;-1,25403841983643427;2;1;3;0,3333333333333333;0,500000000000000;0,975000000000000;0,550000000000000;x1, x6, x5, x3, x4;single_high_priority_signal
3694;continuous;700;15;8;1,88269283277853727;1;6;8;0,0666666666666667;0,466666666666667;1,100000000000000;0,433333333333333;x11, x14, x6, x5, x2;high_plus_additional_support
1652;continuous;150;15;4;2,52870685552659769;1;6;8;0,0666666666666667;0,466666666666667;1,051785714285714;0,441666666666667;x8, x11, x3, x9, x14;high_plus_additional_support
9779;binary;150;6;4;0,25333333333333330;1;2;3;0,1666666666666667;0,500000000000000;1,085000000000000;0,466666666666667;x6, x4, x2, x3, x5;high_plus_additional_support
1964;binary;500;6;6;0,26000000000000001;1;2;3;0,1666666666666667;0,500000000000000;0,850000000000000;0,425000000000000;x3, x4, x1, x2, x6;high_plus_additional_support
