dataset_id;endpoint;n_obs;n_vars;n_bins;visual_teh_assessment;reviewer_note
1222;binary;150;50;4;;
1652;continuous;150;15;4;;
1964;binary;500;6;6;;
2119;continuous;700;6;8;;
2318;continuous;700;50;8;;
2771;binary;150;15;4;;
2941;continuous;150;6;4;;
3354;binary;500;50;6;;
3453;continuous;150;50;4;;
3608;continuous;150;6;4;;
3694;continuous;700;15;8;;
3972;binary;150;15;4;;
4017;continuous;700;50;8;;
4368;binary;500;15;6;;
4380;continuous;150;15;4;;
4502;continuous;150;50;4;;
4913;continuous;700;15;8;;
5053;continuous;150;15;4;;
5492;binary;500;50;6;;
6025;binary;500;15;6;;
6628;binary;500;6;6;;
7164;binary;500;50;6;;
7499;binary;150;15;4;;
7619;binary;150;50;4;;
7756;binary;150;6;4;;
9129;continuous;150;6;4;;
9371;continuous;700;6;8;;
9503;continuous;700;50;8;;
9563;binary;150;6;4;;
9779;binary;150;6;4;;
